task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
12,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,35.65762109945663,24.680496389878876,0.028868373240893485,0.747795722565326,0.7429071687822297,1,0.027964871948903177,0.000903501291990309,0.6969242668151856,0.4878469867706299,,,0,0.155,7.535404177329136,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
13,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,35.84989011391578,30.734395829291767,0.030692663044345203,0.7489531660903089,0.7601327300998818,1,0.029277213869452555,0.0014154491748926464,1.5344363307952882,1.0741054315567016,,,0,0.155,9.594332626388933,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
14,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,35.35340036530016,31.918970889035805,0.028532808288951068,0.7471148734329831,0.7407244418963729,1,0.02772290319609747,0.0008099050928535949,0.5907994174957275,0.4135595922470092,,,0,0.155,13.183824177321316,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
15,Centralized-DQN,1,edge_1,0,0,0.3,0,1,1,35.96725785322477,38.527468972328094,0.031230572830734313,0.7523574117520234,0.7587433177506383,0,0.029666854514912536,0.001563718315821778,1.466882677078247,1.0268178739547729,,,0,0.155,15.441284194906325,1,edge_1,0,0,0.0,0.8,0.9335484217522266,0.845,1.0,0.7888484163806315,1,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
16,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,35.36346110252257,35.89412030578161,0.0299376965593084,0.7474893404557718,0.7482737069331219,0,0.028279237026775792,0.001658459532532608,0.9578469944000244,0.670492896080017,,,0,0.155,16.371586343246207,1,edge_1,0,0,0.0,0.8,0.985215985271728,0.845,1.0,0.8325075075546102,1,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
17,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,36.50324041042136,46.975338266989084,0.03152000749380478,0.7509957134873376,0.7666512881955705,0,0.030001145290410862,0.001518862203393917,1.851370620727539,1.2959594345092773,,,0,0.155,16.209457321206806,1,edge_1,0,0,0.0,0.8,0.777072433261715,0.845,1.0,0.6566262061061492,1,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
18,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,35.59852967913749,34.41533482068577,0.0370916096049723,0.7484084867844346,0.7492503352710573,1,0.03559319747399842,0.0014984121309738804,1.0053309631347656,0.7037316741943358,,,0,0.155,6.751626501347563,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
19,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,35.525930956250924,39.10392672674297,0.030217901659131713,0.7477616801087089,0.7504324877607907,0,0.028461737199453142,0.0017561644596785695,1.0628075790405274,0.7439653053283691,,,0,0.155,15.799669247545392,1,edge_1,0,0,0.0,0.8,0.9085003458733194,0.845,1.0,0.7676827922629549,1,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
20,Centralized-DQN,1,edge_1,0,0,0.3,0,0,1,35.79995407435488,43.8016957123152,0.03132637836817717,0.7441872221639088,0.7606808804825888,0,0.028638581838726328,0.0026877965294508444,1.5610875701904297,1.0927612991333007,,,0,0.155,16.442503623776634,1,edge_1,0,0,0.0,0.8,0.8173189072287316,0.845,1.0,0.6906344766082781,1,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
21,Centralized-DQN,2,edge_2,0,0,0.3,0,0,1,35.78412816110282,27.415139535560595,0.03639479831472225,0.7430978635521601,0.7491799695744898,0,0.03464691080190252,0.0017478875128197255,1.001909761428833,0.7013368330001831,,,0,0.155,6.804536964117793,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134974.6332,0.16305,0.311125,0.172937,0.335923,0.0,0.003684
