agent_id,epoch,reward,avg_delay_ms,type,loss
0,0,-0.35587977584187674,46.20437222369588,training,
0,1,-0.35242079101167106,46.01009109560159,training,
0,2,-0.31355689689494326,43.895031694598515,training,
0,3,-0.32679594803590645,44.00348573621054,training,
0,4,-0.24802624732605588,39.380351322862005,training,
0,5,-0.28663391133146193,41.994370135038615,training,
0,6,-0.2704184097826017,40.917260872176875,training,
0,7,-0.27502224856005236,40.70196355971175,training,
0,8,-0.23759755882959943,39.26083602869845,training,
0,9,-0.22483061790525471,37.57134631639092,training,
0,10,-0.2346342537812848,39.521410031610074,training,
0,11,-0.19282934010455166,36.350438596922636,training,
0,12,-0.1846468614181475,35.34986582992776,training,
0,13,-0.19873458655995666,36.200630366718244,training,
0,14,-0.18585164607281254,36.18833787819033,training,
0,15,-0.18433025407333528,35.879840070422176,training,
0,16,-0.17059507146102304,35.02564607346983,training,
0,17,-0.17430577200794473,34.99459375711952,training,
0,18,-0.1650208837250052,34.96531330397243,training,
0,19,-0.15481334846543993,34.3205901429802,training,
0,20,-0.1560810483392743,34.0507905527332,training,
0,21,-0.15131610689588704,33.968718448620365,training,
0,22,-0.13497806149659874,32.7467921579439,training,
0,23,-0.14931897450890966,33.15279691375511,training,
0,24,-0.14188175671856687,33.0725403608227,training,
0,25,-0.1429173940449526,33.36489410162792,training,
0,26,-0.1267119930235904,31.988011166461785,training,
0,27,-0.1340997943146483,32.52178278604771,training,
0,28,-0.13467602097749548,32.61228917167337,training,
0,29,-0.1297513286378425,32.20286190892207,training,
0,30,-0.11771767101735742,31.435238314387533,training,
0,31,-0.12690138469412593,32.102428895718894,training,
0,32,-0.1183240555410869,31.35093025441172,training,
0,33,-0.11850268631013788,31.406522983768305,training,
0,34,-0.11880100716602576,31.634499612574146,training,
0,35,-0.11045928612723821,30.83205689228593,training,
0,36,-0.12873237006841723,32.37611356449515,training,
0,37,-0.11655564768630579,31.64533881719343,training,
0,38,-0.1134084528314902,31.344620328481795,training,
0,39,-0.11673561428448417,31.738769603763455,training,
1,0,-0.3613278794920501,46.304243934825195,training,
1,1,-0.3346877190316558,45.240935733501644,training,
