task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,fuzzy_pred_action,task_count,avg_delay_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
10,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.4750542876774,21.754579095568975,0.02892900312166339,0.7499744397888233,0.7417354305387689,1,0.028195407672667892,0.000733595448995496,0.6399539947509766,0.44796779632568356,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
11,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.43278484372693,20.623337641013304,0.035056394547663405,0.7435744579448001,0.7669391634303117,1,0.028968992437534136,0.006087402110129271,1.865367202758789,1.3057570419311524,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
12,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.65762109945663,17.20419606150399,0.02927478348175821,0.747795722565326,0.7429071687822297,1,0.027964871948903177,0.0013099115328550324,0.6969242668151856,0.4878469867706299,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
13,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.84989011391578,21.152359494233373,0.03080997218708171,0.7489531660903089,0.7601327300998818,1,0.029277213869452555,0.0015327583176291543,1.5344363307952882,1.0741054315567016,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
14,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.35340036530016,18.79711064281604,0.028982063263812557,0.7471148734329831,0.7407244418963729,1,0.02772290319609747,0.0012591600677150864,0.5907994174957275,0.4135595922470092,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
15,DT-FedDQL,1,edge,1,0,0.3,0,1,1,35.96725785322477,23.118016236813233,0.0315423992257407,0.7523574117520234,0.7587433177506383,0,0.029666854514912536,0.0018755447108281676,1.466882677078247,1.0268178739547729,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
16,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.36346110252257,19.82072419732174,0.03224829842921177,0.7474893404557718,0.7482737069331219,0,0.028279237026775792,0.003969061402435978,0.9578469944000244,0.670492896080017,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
17,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.50324041042136,30.768319662109842,0.03153962189999252,0.7509957134873376,0.7666512881955705,1,0.030001145290410862,0.001538476609581659,1.851370620727539,1.2959594345092773,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
18,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.59852967913749,23.451024188126624,0.03000317026089573,0.7484084867844346,0.7492503352710573,1,0.028474557979198734,0.001528612281696996,1.0053309631347656,0.7037316741943358,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
19,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.525930956250924,23.53263842088914,0.032220159764456045,0.7477616801087089,0.7504324877607907,1,0.028461737199453142,0.0037584225650029047,1.0628075790405274,0.7439653053283691,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
20,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.79995407435488,27.825799137921532,0.03497909064783459,0.7441872221639088,0.7606808804825888,1,0.028638581838726328,0.006340508809108263,1.5610875701904297,1.0927612991333007,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
21,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.78412816110282,16.632265984749893,0.029797123379228126,0.7430978635521601,0.7491799695744898,0,0.027717528641522014,0.002079594737706112,1.001909761428833,0.7013368330001831,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
22,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.11322654729131,21.725513261132264,0.031618039912547295,0.7427233965293716,0.7651142910655258,1,0.028726767246029353,0.0028912726665179414,1.7766413497924805,1.2436489448547363,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
23,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.60560139966399,24.4085572296646,0.02916831017264291,0.7454467930587431,0.7501277358137368,1,0.028113478070904394,0.0010548321017385157,1.0479904460906981,0.7335933122634887,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
24,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.824141232356496,18.122583527770377,0.03267975904333972,0.745889344994766,0.7521971750638132,1,0.028314135545179395,0.004365623498160331,1.1486072158813476,0.8040250511169433,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
