algorithm,task_count,avg_delay_ms,avg_queue_wait_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_rule_consistency,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
FedDQL-Federated,3000,31.6451,8.8524,0.032089,0.6903,98.4733,98.4733,12.5448,,,60.4967,74.4012,76.3274,75.3643,0.8374,30.9667,98.4733,0,0.0,0,0.0,0.0
DT-FedDQL,3000,30.9565,8.8937,0.031955,0.7413,100.0,100.0,100.0,,,60.504,74.4316,76.3239,75.3777,0.8456,25.8667,100.0,35,1.1667,1,0.0333,0.0007
