task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,task_count,avg_delay_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
10,Random,1,edge,0,0,0.3,0,0,1,35.4750542876774,18.578448144720607,0.02881029106808872,0.7499744397888233,0.7417354305387689,1,0.028195407672667892,0.0006148833954208287,0.6399539947509766,0.44796779632568356,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
11,Random,2,cloud,0,0,0.3,0,0,1,36.43278484372693,87.52164750556616,0.050901765835997884,0.46297871495400017,0.6815652723838529,0,0.04358053908058826,0.00732122675540962,1.865367202758789,1.3057570419311524,,,0,0.155,2,cloud,0,0,0.0,0.8,0.41627169828367194,0.845,1.0,0.3517495850497028,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
12,Random,2,cloud,0,0,0.3,0,0,1,35.65762109945663,86.15483909109253,0.04213971086068661,0.4664964354711051,0.641511947970383,0,0.04115017164127375,0.0009895392194128618,0.6969242668151856,0.4878469867706299,,,0,0.155,2,cloud,0,0,0.0,0.8,0.4138783320314185,0.845,1.0,0.3497271905665486,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
13,Random,2,cloud,0,0,0.3,0,0,1,35.84989011391578,115.73510095609252,0.048240658317289166,0.46746097174192414,0.6702212168331363,0,0.04365911112987421,0.004581547187414958,1.5344363307952882,1.0741054315567016,,,0,0.155,2,cloud,0,0,0.0,0.8,0.30975814439835736,0.845,1.0,0.26174563201661194,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
14,Random,2,cloud,0,0,0.3,0,0,1,35.35340036530016,88.47556343570062,0.041834772466627805,0.46592906119415267,0.6378740698272881,0,0.04073431904889663,0.0011004534177311768,0.5907994174957275,0.4135595922470092,,,0,0.155,2,cloud,0,0,0.0,0.8,0.39958378327811556,0.845,1.0,0.33764829687000764,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
15,Random,2,cloud,0,0,0.3,0,1,0,35.96725785322477,120.0,0.0493557214740371,0.4702978431266862,0.6679055295843972,0,0.044097967854622735,0.005257753619414361,1.466882677078247,1.0268178739547729,,,0,0.155,2,cloud,0,0,0.0,0.8,0.2997271487768731,0.845,1.0,0.2532694407164578,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
16,Random,1,edge,0,0,0.3,0,0,1,35.36346110252257,19.876482120269614,0.02970356468695427,0.7474893404557718,0.7482737069331219,1,0.028279237026775792,0.0014243276601784765,0.9578469944000244,0.670492896080017,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
17,Random,0,terminal,0,0,0.3,0,0,1,36.50324041042136,46.62021522626852,0.06184165010319534,0.5473304756582251,0.4852713700814877,0,0.06184165010319534,0.0,1.851370620727539,1.2959594345092773,,,0,0.155,0,terminal,0,0,0.0,0.8,0.7829916750331374,0.845,1.0,0.6616279654030011,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
18,Random,2,cloud,0,0,0.3,0,0,1,35.59852967913749,84.12332780855496,0.0443878713908331,0.46700707232036226,0.652083892118429,0,0.042108267279954,0.002279604110879096,1.0053309631347656,0.7037316741943358,,,0,0.155,2,cloud,0,0,0.0,0.8,0.4231707257248718,0.845,1.0,0.35757926323751665,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
19,Random,1,edge,0,0,0.3,0,0,1,35.525930956250924,21.854206245943512,0.03042159694752695,0.7477616801087089,0.7504324877607907,1,0.028461737199453142,0.001959859748073809,1.0628075790405274,0.7439653053283691,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
