task_type,count,data_size_mb_mean,data_size_mb_min,data_size_mb_max,compute_norm_mean,deadline_ms_mean,dependency_rate
denoising,1488,1.6241388752575856,0.2918929958343506,5.711123237609862,0.02991618227952461,35.298083568495315,5.10752688172043
signal_enhancement,1512,1.6408753861825949,0.06937376976013182,5.90381049156189,0.030021035060526516,35.335137136016755,4.62962962962963
