algorithm,positive_label,roc_auc,pr_auc
DT-FedDQL,deadline_met,0.6907188193935642,0.856264154661096
FedDQL-Federated,deadline_met,0.6775148539362932,0.8554345827961847
Greedy,deadline_met,0.9654972086328569,0.7883969813699729
MILP,deadline_met,0.999212363760218,0.9407657148681146
Centralized DQN,deadline_met,0.6977120238967633,0.8558614480860239
Local Only,deadline_met,,
Random Offloading,deadline_met,0.9391140265702984,0.7910074373140876
