epoch,timeliness,reliability,availability,dtt_score,trust_violation_rate,reorchestration_rate
R1,0.9453,0.8545,1.0,0.8077,32.0238,93.4524
R2,0.3601,0.7677,0.92,0.2564,100.0,94.4048
R3,0.9927,0.887,1.0,0.8805,2.2619,94.7619
R4,0.4889,0.7714,0.77,0.2906,100.0,95.7143
R5,0.8104,0.8682,1.0,0.7037,77.8802,93.6636
