setting,avg_delay_ms,avg_energy_kj_per_task,hpc_rate_percent,avg_dtt_score,trust_violation_percent,high_priority_latency_ms
IID,30.4372,0.032348,100.0,0.847,23.1,12.6053
Non-IID,30.2945,0.032517,100.0,0.8478,22.2667,12.7691
